%time.ns;field.joint1.deg;Vel.deg/s
1407756406355430000;279.102813721;0
1407756406380470000;279.102813721;0
1407756406402440000;279.102813721;0
1407756406428440000;279.102813721;0
1407756406457480000;279.102813721;0
1407756406483400000;279.102813721;0
1407756406513500000;279.102813721;0
1407756406541450000;279.102813721;0
1407756406568470000;279.102813721;0
1407756406595490000;279.102813721;0
1407756406622480000;279.102813721;0
1407756406651560000;279.102813721;0
1407756406679610000;279.102813721;0
1407756406708350000;279.102813721;0
1407756406738370000;279.102813721;0
1407756406768360000;279.102813721;0
1407756406795360000;279.102813721;0
1407756406824470000;279.102813721;0
1407756406853440000;279.102813721;0
1407756406883470000;279.102813721;0
1407756406911500000;279.102813721;0
1407756406938890000;279.102813721;0
1407756406968100000;279.102813721;0
1407756406993460000;279.102813721;0
1407756407022480000;279.102813721;0
1407756407053380000;279.102813721;0
1407756407083370000;279.102813721;0
1407756407113390000;279.102813721;0
1407756407140500000;279.102813721;0
1407756407169500000;279.102813721;0
1407756407199510000;279.102813721;0
1407756407228500000;279.102813721;0
1407756407256450000;279.102813721;0
1407756407287510000;279.102813721;0
1407756407315570000;279.102813721;0
1407756407343470000;279.102813721;0
1407756407374500000;279.102813721;0
1407756407403480000;279.102813721;0
1407756407433590000;279.102813721;0
1407756407463350000;279.102813721;0
1407756407489370000;279.102813721;0
1407756407518400000;279.102813721;0
1407756407548390000;279.102813721;0
1407756407578450000;279.102813721;0
1407756407609460000;279.102813721;0
1407756407638460000;279.102813721;0
1407756407668480000;279.102813721;0
1407756407698380000;279.102813721;0
1407756407725450000;279.102813721;0
1407756407752460000;279.102813721;0
1407756407783370000;279.102813721;0
1407756407812380000;279.102813721;0
1407756407842370000;279.102813721;0
1407756407870490000;279.102813721;0
1407756407898430000;279.102813721;0
1407756407925450000;279.102813721;0
1407756407954460000;279.102813721;0
1407756407985450000;279.102813721;0
1407756408013470000;279.102813721;0
1407756408038430000;279.102813721;0
1407756408065430000;279.102813721;0
1407756408093360000;279.102813721;0
1407756408101020000;279.102813721;5
1407756408121350000;279.102813721;5
1407756408149470000;279.102813721;5
1407756408181480000;279.102813721;5
1407756408211450000;279.102813721;5
1407756408241460000;279.102813721;5
1407756408271410000;279.102813721;5
1407756408297380000;279.102813721;5
1407756408326450000;279.202819824;5
1407756408356450000;279.202819824;5
1407756408387470000;279.302825928;5
1407756408416390000;279.302825928;5
1407756408446720000;279.402832031;5
1407756408473630000;279.402832031;5
1407756408503480000;279.502838135;5
1407756408532350000;279.502838135;5
1407756408558340000;279.602844238;5
1407756408585340000;279.602844238;5
1407756408611450000;279.702850342;5
1407756408640440000;279.702850342;5
1407756408670440000;279.802856445;5
1407756408696420000;279.802856445;5
1407756408723060000;279.902862549;5
1407756408750370000;279.902862549;5
1407756408780450000;280.002868652;5
1407756408810380000;280.002868652;5
1407756408841340000;280.102874756;5
1407756408871390000;280.102874756;5
1407756408900470000;280.202880859;5
1407756408928460000;280.302886963;5
1407756408960410000;280.302886963;5
1407756408988370000;280.402893066;5
1407756409017920000;280.402893066;5
1407756409047350000;280.50289917;5
1407756409077450000;280.602905273;5
1407756409107480000;280.602905273;5
1407756409135470000;280.602905273;5
1407756409165460000;280.702911377;5
1407756409192480000;280.702911377;5
1407756409223460000;280.80291748;5
1407756409252370000;280.80291748;5
1407756409282360000;280.902923584;5
1407756409308330000;280.902923584;5
1407756409337370000;280.902923584;5
1407756409367490000;281.002929688;5
1407756409397430000;281.002929688;5
1407756409427430000;281.102935791;5
1407756409459610000;281.102935791;5
1407756409484350000;281.202941895;5
1407756409509330000;281.202941895;5
1407756409537350000;281.302947998;5
1407756409565350000;281.302947998;5
1407756409594340000;281.402954102;5
1407756409623460000;281.402954102;5
1407756409653410000;281.502960205;5
1407756409683470000;281.602966309;5
1407756409711420000;281.602966309;5
1407756409741500000;281.702972412;5
1407756409772350000;281.702972412;5
1407756409801480000;281.802978516;5
1407756409832450000;281.802978516;5
1407756409862450000;281.902984619;5
1407756409890690000;281.902984619;5
1407756409918440000;282.002990723;5
1407756409946310000;282.002990723;5
1407756409975360000;282.102996826;5
1407756410000350000;282.20300293;5
1407756410029350000;282.20300293;5
1407756410053360000;282.20300293;5
1407756410081430000;282.303009033;5
1407756410101710000;282.303009033;10
1407756410108450000;282.303009033;10
1407756410137450000;282.403015137;10
1407756410165420000;282.403015137;10
1407756410192440000;282.50302124;10
1407756410219440000;282.50302124;10
1407756410246320000;282.603027344;10
1407756410277330000;282.603027344;10
1407756410308350000;282.703033447;10
1407756410338340000;282.703033447;10
1407756410368480000;282.703033447;10
1407756410399470000;282.803039551;10
1407756410429430000;282.903045654;10
1407756410460430000;282.903045654;10
1407756410491370000;282.903045654;10
1407756410522350000;283.003051758;10
1407756410550440000;283.003051758;10
1407756410581430000;283.103057861;10
1407756410611470000;283.103057861;10
1407756410640450000;283.203063965;10
1407756410671450000;283.203063965;10
1407756410701460000;283.303070068;10
1407756410732330000;283.303070068;10
1407756410763380000;283.403076172;10
1407756410793370000;283.403076172;10
1407756410824360000;283.503082275;10
1407756410852380000;283.603088379;10
1407756410879350000;283.603088379;10
1407756410908350000;283.703094482;10
1407756410935430000;283.703094482;10
1407756410963370000;283.803100586;10
1407756410990360000;283.803100586;10
1407756411018420000;283.903106689;10
1407756411048390000;284.003112793;10
1407756411076330000;284.003112793;10
1407756411104330000;284.103118896;10
1407756411131440000;284.103118896;10
1407756411157410000;284.103118896;10
1407756411184390000;284.203125;10
1407756411208430000;284.203125;10
1407756411235580000;284.303131104;10
1407756411264410000;284.303131104;10
1407756411291300000;284.403137207;10
1407756411318440000;284.403137207;10
1407756411347430000;284.503143311;10
1407756411378490000;284.503143311;10
1407756411409460000;284.503143311;10
1407756411439550000;284.603149414;10
1407756411468400000;284.603149414;10
1407756411498340000;284.703155518;10
1407756411528320000;284.703155518;10
1407756411559330000;284.803161621;10
1407756411589480000;284.803161621;10
1407756411620440000;284.903167725;10
1407756411651430000;284.903167725;10
1407756411682460000;285.003173828;10
1407756411707490000;285.003173828;10
1407756411734350000;285.103179932;10
1407756411760390000;285.103179932;10
1407756411787370000;285.203186035;10
1407756411815320000;285.203186035;10
1407756411843320000;285.303192139;10
1407756411871380000;285.403198242;10
1407756411898390000;285.403198242;10
1407756411921420000;285.503204346;10
1407756411946410000;285.503204346;10
1407756411973440000;285.603210449;10
1407756412002480000;285.603210449;10
1407756412027330000;285.703216553;10
1407756412054350000;285.703216553;10
1407756412085440000;285.803222656;10
1407756412102530000;285.803222656;20
1407756412116420000;285.803222656;20
1407756412147440000;285.90322876;20
1407756412177420000;286.003234863;20
1407756412208300000;286.003234863;20
1407756412239340000;286.103240967;20
1407756412269350000;286.103240967;20
1407756412299330000;286.103240967;20
1407756412329310000;286.20324707;20
1407756412360350000;286.20324707;20
1407756412391440000;286.303253174;20
1407756412421450000;286.303253174;20
1407756412453430000;286.403259277;20
1407756412483320000;286.403259277;20
1407756412510640000;286.403259277;20
1407756412540390000;286.503265381;20
1407756412569350000;286.503265381;20
1407756412598310000;286.603271484;20
1407756412628330000;286.603271484;20
1407756412658400000;286.703277588;20
1407756412689500000;286.703277588;20
1407756412718400000;286.803283691;20
1407756412748850000;286.903289795;20
1407756412777410000;286.903289795;20
1407756412803330000;286.903289795;20
1407756412832370000;287.003295898;20
1407756412862320000;287.003295898;20
1407756412890320000;287.103302002;20
1407756412919340000;287.103302002;20
1407756412950470000;287.203308105;20
1407756412980380000;287.303314209;20
1407756413011460000;287.303314209;20
1407756413043330000;287.403320312;20
1407756413070360000;287.403320312;20
1407756413101460000;287.503326416;20
1407756413129510000;287.60333252;20
1407756413159430000;287.60333252;20
1407756413190410000;287.703338623;20
1407756413220510000;287.703338623;20
1407756413249400000;287.803344727;20
1407756413279480000;287.803344727;20
1407756413309310000;287.803344727;20
1407756413337330000;287.90335083;20
1407756413365340000;287.90335083;20
1407756413395400000;287.90335083;20
1407756413425410000;288.003356934;20
1407756413453460000;288.103363037;20
1407756413483430000;288.103363037;20
1407756413511420000;288.103363037;20
1407756413539350000;288.203369141;20
1407756413569420000;288.203369141;20
1407756413597280000;288.303375244;20
1407756413627320000;288.303375244;20
1407756413655300000;288.403381348;20
1407756413685440000;288.403381348;20
1407756413712420000;288.503387451;20
1407756413737430000;288.503387451;20
1407756413763410000;288.603393555;20
1407756413788300000;288.603393555;20
1407756413816520000;288.703399658;20
1407756413842440000;288.703399658;20
1407756413867420000;288.703399658;20
1407756413893400000;288.803405762;20
1407756413924410000;288.903411865;20
1407756413954320000;289.003417969;20
1407756413981530000;289.003417969;20
1407756414008380000;289.103424072;20
1407756414035470000;289.103424072;20
1407756414063280000;289.203430176;20
1407756414091310000;289.203430176;20
1407756414102820000;289.203430176;30
1407756414119300000;289.303436279;30
1407756414147450000;289.303436279;30
1407756414178380000;289.403442383;30
1407756414206420000;289.403442383;30
1407756414234370000;289.503448486;30
1407756414261420000;289.503448486;30
1407756414287410000;289.60345459;30
1407756414312510000;289.60345459;30
1407756414339290000;289.703460693;30
1407756414366300000;289.703460693;30
1407756414395290000;289.703460693;30
1407756414422400000;289.803466797;30
1407756414453380000;289.9034729;30
1407756414484350000;289.9034729;30
1407756414512390000;289.9034729;30
1407756414541420000;290.003479004;30
1407756414571420000;290.003479004;30
1407756414599380000;290.103485107;30
1407756414627430000;290.103485107;30
1407756414655450000;290.203491211;30
1407756414684420000;290.203491211;30
1407756414710370000;290.303497314;30
1407756414737380000;290.303497314;30
1407756414763300000;290.403503418;30
1407756414789310000;290.403503418;30
1407756414818300000;290.403503418;30
1407756414845290000;290.503509521;30
1407756414875400000;290.603515625;30
1407756414906400000;290.603515625;30
1407756414937360000;290.703521729;30
1407756414969390000;290.703521729;30
1407756414997310000;290.803527832;30
1407756415027300000;290.903533936;30
1407756415056400000;290.903533936;30
1407756415083290000;291.003540039;30
1407756415107290000;291.003540039;30
1407756415135310000;291.103546143;30
1407756415161370000;291.103546143;30
1407756415189370000;291.203552246;30
1407756415215360000;291.203552246;30
1407756415241400000;291.30355835;30
1407756415269390000;291.30355835;30
1407756415298350000;291.403564453;30
1407756415327390000;291.403564453;30
1407756415356390000;291.503570557;30
1407756415387480000;291.503570557;30
1407756415417360000;291.503570557;30
1407756415447430000;291.60357666;30
1407756415476420000;291.703582764;30
1407756415506330000;291.703582764;30
1407756415535280000;291.703582764;30
1407756415565290000;291.803588867;30
1407756415595420000;291.803588867;30
1407756415626320000;291.903594971;30
1407756415656400000;291.903594971;30
1407756415687410000;292.003601074;30
1407756415716320000;292.003601074;30
1407756415744290000;292.103607178;30
1407756415772270000;292.103607178;30
1407756415799310000;292.203613281;30
1407756415829270000;292.303619385;30
1407756415859360000;292.303619385;30
1407756415889390000;292.403625488;30
1407756415919350000;292.403625488;30
1407756415949360000;292.503631592;30
1407756415977290000;292.503631592;30
1407756416005370000;292.603637695;30
1407756416035350000;292.603637695;30
1407756416067430000;292.703643799;30
1407756416095380000;292.703643799;30
1407756416103810000;292.703643799;0
1407756416121380000;292.803649902;0
1407756416145380000;292.803649902;0
1407756416171390000;292.903656006;0
1407756416195330000;292.903656006;0
1407756416222280000;292.903656006;0
1407756416233350000;293.003662109;0
1407756416263300000;293.003662109;0
1407756416291310000;293.003662109;0
1407756416302420000;293.003662109;0
1407756416330390000;293.003662109;0
1407756416360420000;293.003662109;0
1407756416389440000;293.003662109;0
1407756416416540000;293.003662109;0
1407756416445320000;293.003662109;0
1407756416472320000;293.003662109;0
1407756416500330000;293.003662109;0
1407756416529310000;293.003662109;0
1407756416556290000;293.003662109;0
1407756416584390000;293.003662109;0
1407756416612460000;293.003662109;0
1407756416624420000;293.003662109;0
1407756416651440000;293.003662109;0
1407756416680990000;293.003662109;0
1407756416690280000;293.003662109;0
1407756416719100000;293.003662109;0
1407756416745380000;293.003662109;0
1407756416776370000;293.003662109;0
1407756416805410000;293.003662109;0
1407756416835420000;293.003662109;0
1407756416865380000;293.003662109;0
1407756416895340000;293.003662109;0
1407756416922360000;293.003662109;0
1407756416952260000;293.003662109;0
1407756416980280000;293.003662109;0
1407756417005240000;293.003662109;0
1407756417034360000;293.003662109;0
1407756417062370000;293.003662109;0
1407756417089360000;293.003662109;0
1407756417114380000;293.003662109;0
1407756417143410000;293.003662109;0
1407756417171390000;293.103668213;0
1407756417201360000;293.103668213;0
1407756417227320000;293.103668213;0
1407756417255280000;293.103668213;0
1407756417283250000;293.103668213;0
1407756417313630000;293.103668213;0
1407756417342410000;293.103668213;0
1407756417370250000;293.103668213;0
1407756417401380000;293.103668213;0
1407756417430300000;293.103668213;0
1407756417460390000;293.103668213;0
1407756417490430000;293.103668213;0
1407756417521380000;293.103668213;0
1407756417552410000;293.103668213;0
1407756417576330000;293.103668213;0
1407756417605290000;293.103668213;0
1407756417633350000;293.103668213;0
1407756417659260000;293.103668213;0
1407756417686270000;293.103668213;0
1407756417714380000;293.103668213;0
1407756417745390000;293.103668213;0
1407756417775380000;293.103668213;0
1407756417806370000;293.103668213;0
1407756417837340000;293.103668213;0
1407756417850340000;293.103668213;0
1407756417879410000;293.103668213;0
1407756417910320000;293.103668213;0
1407756417937360000;293.103668213;0
1407756417963360000;293.103668213;0
1407756417992410000;293.103668213;0
1407756418019360000;293.103668213;0
1407756418046320000;293.103668213;0
1407756418073370000;293.103668213;0
1407756418101410000;293.103668213;0
